chr strand tss gene
chr19 - 58858171 A1BG
chr10 - 52559168 A1CF
chr12 - 9220303 A2M
chr12 + 8975067 A2ML1
chr22 - 43088120 A4GALT
chr3 - 137842559 A4GNT
chr12 - 53701239 AAAS
chr12 + 125549912 AACS
chr3 + 151531860 AADAC
chr3 + 151451703 AADACL2
chr1 + 12776117 AADACL3
chr1 + 12704565 AADACL4
chr4 - 170981372 AADAT
chr15 - 67493012 AAGAB
chr2 - 69685126 AAK1
chr2 - 219128851 AAMP
chr17 + 74463629 AANAT
chr16 - 70286296 AARS
chr6 - 44266462 AARS2
chr17 - 41102542 AARSD1
chr4 - 57204450 AASDH
chr11 + 105948291 AASDHPPT
chr7 - 121713597 AASS
chr17 + 35306174 AATF
chr17 - 79091095 AATK
chr16 + 8768443 ABAT
chr9 - 107543283 ABCA1
chr17 - 67144147 ABCA10
chr4 - 419223 ABCA11P
chr2 - 215796265 ABCA12
chr7 + 48211056 ABCA13
chr16 + 2390922 ABCA17P
chr9 - 139901685 ABCA2
chr16 - 2325878 ABCA3
chr1 - 94458393 ABCA4
chr17 - 67240575 ABCA5
chr17 - 67074846 ABCA6
chr19 + 1040101 ABCA7
chr17 - 66863427 ABCA8
chr17 - 66970772 ABCA9
chr7 - 87133178 ABCB1
chr1 - 229652328 ABCB10
chr2 - 169779448 ABCB11
chr7 - 87031360 ABCB4
chr7 + 20655244 ABCB5
chr2 - 220074487 ABCB6
chrX - 74273006 ABCB7
chr7 + 150725508 ABCB8
chr12 - 123413538 ABCB9
chr16 + 16043433 ABCC1
chr6 + 43395291 ABCC10
chr16 - 48200821 ABCC11
chr16 - 48116883 ABCC12
chr21 + 15646119 ABCC13
chr10 + 101542354 ABCC2
chr17 + 48712217 ABCC3
chr13 - 95748024 ABCC4
chr3 - 183637723 ABCC5
chr16 - 16243421 ABCC6
chr16 + 18582569 ABCC6P1
chr16 - 14916288 ABCC6P2
chr11 - 17414431 ABCC8
chr12 - 21950323 ABCC9
chrX + 152990322 ABCD1
chr12 - 39945021 ABCD2
chr1 + 94883932 ABCD3
chr14 - 74751979 ABCD4
chr4 + 146019155 ABCE1
chr6 + 30539169 ABCF1
chr7 - 150908569 ABCF2
chr3 + 183903862 ABCF3
chr21 + 43619798 ABCG1
chr4 - 89011415 ABCG2
chr11 + 119020298 ABCG4
chr2 - 44039610 ABCG5
chr2 + 44066102 ABCG8
